DOCNUMBER,NOME,DATA,CPF,SALARIO
1,Monica Gutierrez,11/26/2012,00417668651,66125.37
2,Thomas Wilkinson,10/12/2004,62786644100,887291.73
3,Patricia Holcomb,01/26/1999,07565650650,2734604.71
4,Cecilia George,10/02/2004,96832698186,1171247.15
5,Marilyn Hutson,12/19/2008,16068694267,3844957.66
6,Vicki Resnick,04/25/2013,53337649130,2107089.82
7,Richard Daugherty,11/15/2021,23980866408,3226582.28
8,Armando Dreessen,10/03/1991,99104198077,1658816.06
9,Brian Shelton,03/15/1990,73084789711,4527763.63
10,Ella Vancuren,04/20/2007,16149407381,1230864.97
11,Kenneth Denley,08/18/1990,36809177329,2869419.36
12,Valentin Wells,01/18/2011,55463361290,269700.43
13,Lorenzo Dunn,12/29/1992,92427350788,4494141.24
14,Mary Dennehy,06/23/1994,41827617152,1023669.01
15,Robert Aveline,01/11/2015,64638054404,2851797.28
16,Barb Powell,09/01/2002,59180689701,4958381.62
17,Betty Hickey,09/17/2013,38701068407,2983563.51
18,Jo Bentley,06/04/1991,79222648790,3674764.45
19,Philip Carroll,12/06/1992,08289040652,88951.44
20,Raymond Warren,11/22/2000,70948189045,1920545.97
21,Sarah Lee,05/31/1995,71218100699,2286674.99
22,George Adelstein,05/18/2007,93736565542,3779759.7
23,Christopher Lee,11/27/2005,75890453904,1987925.1
24,David Windham,07/22/1999,96876389154,3693607.18
25,Bertha Van,04/20/2001,10847051927,2218317.2
26,Michelle Meyers,03/15/1990,38644168096,2029055.91
27,Virginia Martinez,07/21/1996,90010708685,2419721.58
28,Janis Truong,08/05/1994,12751309330,192311.07
29,Alfred Hoston,05/06/2000,37660741306,3239377.56
30,Mitzi Flores,12/08/2006,74847146239,2083201.35
31,Willie Hagstrom,07/12/2004,43901235990,4839077.76
32,Kathy Moore,02/03/2010,86332495103,1282696.45
33,Robert Mcquaig,07/25/2010,84476598366,4498077.26
34,Christina Davino,02/09/2012,00761232354,1100675.92
35,Renee Leta,05/12/2008,34852105600,4864049.69
36,Latonya Rogoff,09/08/2017,87279523129,4481840.81
37,Randy Mccolpin,11/11/2003,33535869463,1648373.53
38,Eleanor Hausman,06/03/2002,45677773280,4736437.79
39,Janet Hartwell,10/20/2001,55941356854,1647040.09
40,Steven Morales,07/09/2007,03118701471,1512284.04
41,Charlotte Sanders,09/16/1999,25617348892,1983209.74
42,Ethel Maloney,06/16/2002,70136653553,3655358.9
43,Victoria Kelly,02/13/1992,24442565570,890737.64
44,Demetrius Brown,10/14/1990,82135535605,1847074.53
45,Joshua Thompson,10/03/2003,34254375263,2801006.24
46,Patricia James,10/22/1993,73212866730,3186486.34
47,Rosemarie Cary,08/22/2020,52075012326,4829886.15
48,Roger Rogers,08/02/1991,28025083349,2182456.25
49,Mark Thompson,04/19/1999,82734747634,3403834.07
50,Shirley Bryant,12/19/2001,29088390754,174320.88
51,Kelly Etsitty,08/29/2013,03239493128,520959.14
52,Jessica Allen,10/29/2020,34130380281,4786886.9
53,Gary Levar,02/13/2016,74975764709,3280941.47
54,Dawn Caminiti,09/27/2017,78644045881,2399226.23
55,Marilyn Blubaugh,09/19/2017,91089871147,4812585.59
56,Ted Reed,05/22/2021,95235210395,3950008.9
57,Tara Bowman,06/20/2016,96311823390,4959511.27
